unique_p_label,unique_t_case_local,t_template
{IDENTITY_P},{IDENTITY_P} Orang macam tu patut kena hukum mati.,() Orang macam tu patut kena hukum mati.
{IDENTITY_P},Aku nak tengok diorang {IDENTITY_P} menderita.,Aku nak tengok diorang () menderita.
{IDENTITY_P},"Dalam dunia yang adil, {IDENTITY_P} macam kau sume dah mati.","Dalam dunia yang adil, () macam kau sume dah mati."
{IDENTITY_P},Aku nak buat diorang {IDENTITY_P} menderita.,Aku nak buat diorang () menderita.
{IDENTITY_A},Hidup {IDENTITY_A} tak penting.,Hidup () tak penting.
{IDENTITY_P},Mampus semua {IDENTITY_P}.,Mampus semua ().
{IDENTITY_P},Jom hapuskan {IDENTITY_P} untuk selama-lamanya.,Jom hapuskan () untuk selama-lamanya.
{IDENTITY_A},Aku akan patahkan leher {IDENTITY_A} kau.,Aku akan patahkan leher () kau.
{IDENTITY_S},Aku kena rogol {IDENTITY_S} hari ini.,Aku kena rogol () hari ini.
{IDENTITY_P},Aku akan sakitkan kau dan {IDENTITY_P} yang sejenis dengan kau.,Aku akan sakitkan kau dan () yang sejenis dengan kau.
{IDENTITY_P},Kita akan terus serang kau {IDENTITY_P} sampai kau hilang.,Kita akan terus serang kau () sampai kau hilang.
{IDENTITY_S},{IDENTITY_S} itu akan mati kematian yang ngeri di tangan aku.,() itu akan mati kematian yang ngeri di tangan aku.
,,()
{IDENTITY_P},Kita akan menyiksa {IDENTITY_P} ini tanpa belas kasihan.,Kita akan menyiksa () ini tanpa belas kasihan.
{IDENTITY_P},Tak ada tempat untuk {IDENTITY_P} dalam negara yang beradab macam ni.,Tak ada tempat untuk () dalam negara yang beradab macam ni.
{IDENTITY_S},Aku lebih rela mati daripada berdating dengan {IDENTITY_S}.,Aku lebih rela mati daripada berdating dengan ().
{IDENTITY_P},{IDENTITY_P} patut masuk zoo.,() patut masuk zoo.
{IDENTITY_P},"	{IDENTITY_P} yang sakit patut dibawa jumpa doktor haiwan, bukan doktor manusia.","	() yang sakit patut dibawa jumpa doktor haiwan, bukan doktor manusia."
{IDENTITY_P},Takde benda di dunia yang aku lebih tak suka dari {IDENTITY_P},Takde benda di dunia yang aku lebih tak suka dari ()
{IDENTITY_P},"Sumpah, monyet tu lagi bijak dari korang semua {IDENTITY_P} gabungkan.","Sumpah, monyet tu lagi bijak dari korang semua () gabungkan."
{IDENTITY_P},Aku tak faham kenapa orang peduli sikit pun pasal hidup {IDENTITY_P}.,Aku tak faham kenapa orang peduli sikit pun pasal hidup ().
{IDENTITY_S},"Kalau aku bangun sebagai {IDENTITY_S}, aku bunuh diri.","Kalau aku bangun sebagai (), aku bunuh diri."
{IDENTITY_S},Anjing aku lagi bijak daripada mana-mana {IDENTITY_S} boleh jadi.,Anjing aku lagi bijak daripada mana-mana () boleh jadi.
{IDENTITY_S},aku takkan makan makanan yang disentuh oleh {IDENTITY_S}.,aku takkan makan makanan yang disentuh oleh ().
{IDENTITY_S},Tak ada apa-apa yang lebih teruk daripada {IDENTITY_S} ni.,Tak ada apa-apa yang lebih teruk daripada () ni.
{IDENTITY_P},Kegeraman yang aku rasa untuk {IDENTITY_P} memng susah nak disebutkan dengan kata-kata.,Kegeraman yang aku rasa untuk () memng susah nak disebutkan dengan kata-kata.
{IDENTITY_P},Aku benci {IDENTITY_P}.,Aku benci ().
{IDENTITY_P},Rasa jijik dengan semua {IDENTITY_P} kat sini.,Rasa jijik dengan semua () kat sini.
{IDENTITY_P},Kau orang {IDENTITY_P} memang teruk gila.,Kau orang () memang teruk gila.
{IDENTITY_P},{IDENTITY_P} yang anggap dia sama taraf dengan aku membuat aku marah sangat.,() yang anggap dia sama taraf dengan aku membuat aku marah sangat.
{IDENTITY_P},{IDENTITY_P} tak pernah bijak.,() tak pernah bijak.
{IDENTITY_P},Kau dan semua {IDENTITY_P} lain dalam negara ini buat aku panas hati.,Kau dan semua () lain dalam negara ini buat aku panas hati.
{IDENTITY_P},I really can't tahan {IDENTITY_P} macam kau.,I really can't tahan () macam kau.
{IDENTITY_P},Memang dah menjadi sifat {IDENTITY_P} yang tidak beradab.,Memang dah menjadi sifat () yang tidak beradab.
{IDENTITY_P},Hanya {IDENTITY_P} yang boleh bodoh macam tu.,Hanya () yang boleh bodoh macam tu.
{IDENTITY_P},{IDENTITY_P} memang bodoh tak ada yang terkecuali.,() memang bodoh tak ada yang terkecuali.
{IDENTITY_P},Semua {IDENTITY_P} itu menjijikkan.,Semua () itu menjijikkan.
{IDENTITY_P},Kau {IDENTITY_P} ni memang menyampah.,Kau () ni memang menyampah.
{IDENTITY_P},Semua {IDENTITY_P} macam diorang ni jahat.,Semua () macam diorang ni jahat.
{IDENTITY_P},{IDENTITY_P} macam kau menyedihkan.,() macam kau menyedihkan.
{IDENTITY_P},Orang {IDENTITY_P} yang ada kuasa adalah ancaman kepada tamadun.,Orang () yang ada kuasa adalah ancaman kepada tamadun.
{SLUR_P},{SLUR_P} buat benda tu lagi.,() buat benda tu lagi.
{SLUR_S},Kau hanyalah seorang {SLUR_S} pada pandangan aku.,Kau hanyalah seorang () pada pandangan aku.
{SLUR_P},Mereka cuma sekumpulan {SLUR_P}.,Mereka cuma sekumpulan ().
{SLUR_S},Biasalah perangai {SLUR_S}.,Biasalah perangai ().
{IDENTITY_A},Kehidupan {IDENTITY_A} tak ada nilai langsung.,Kehidupan () tak ada nilai langsung.
{IDENTITY_P},{IDENTITY_P} makhluk yang lebih rendah.,() makhluk yang lebih rendah.
{IDENTITY_P},{IDENTITY_P} hanyalah pembaziran ruang.,() hanyalah pembaziran ruang.
{IDENTITY_P},{IDENTITY_P} ni manusia tak guna.,() ni manusia tak guna.
{IDENTITY_P},Kau dan semua {IDENTITY_P} lain adalah penyakit kepada masyarakat.,Kau dan semua () lain adalah penyakit kepada masyarakat.
{IDENTITY_P},{IDENTITY_P} ni memang menyusahkan.,() ni memang menyusahkan.
{IDENTITY_P},Ribut-ribut {IDENTITY_P} sedang meracuni pemerintahan kita.,Ribut-ribut () sedang meracuni pemerintahan kita.
{IDENTITY_P},{IDENTITY_P} adalah sampah manusia.,() adalah sampah manusia.
{IDENTITY_P},{IDENTITY_P} macam kau ni tak lebih baik dari tikus.,() macam kau ni tak lebih baik dari tikus.
{IDENTITY_P},{IDENTITY_P} adalah kanser.,() adalah kanser.
{IDENTITY_P},"Kalau {IDENTITY_P} macam kau taknak ikut, mereka haruslah menanggung akibatnya.","Kalau () macam kau taknak ikut, mereka haruslah menanggung akibatnya."
{IDENTITY_P},Saya tak ada apa-apa masalah dengan {IDENTITY_P} tapi kebanyakan mereka memang sangat menjijikkan.,Saya tak ada apa-apa masalah dengan () tapi kebanyakan mereka memang sangat menjijikkan.
{IDENTITY_P},"Bila {IDENTITY_P} nak menjawab balik, aku rasa nak bunuh diorang.","Bila () nak menjawab balik, aku rasa nak bunuh diorang."
{IDENTITY_P},Aku dah jumpa banyak {IDENTITY_P} dan aku benci setiap satu dari mereka.,Aku dah jumpa banyak () dan aku benci setiap satu dari mereka.
{IDENTITY_P},{IDENTITY_P} tak sama macam kita dan itulah sebabnya mereka patut mati.,() tak sama macam kita dan itulah sebabnya mereka patut mati.
{IDENTITY_P},Aku akan okay dengan {IDENTITY_P} kalau mereka tidak begitu teruk.,Aku akan okay dengan () kalau mereka tidak begitu teruk.
{IDENTITY_P},Diorang punya hidup tak brnilai langsung pun bagi aku sebab diorang tu {IDENTITY_P} jek.,Diorang punya hidup tak brnilai langsung pun bagi aku sebab diorang tu () jek.
{IDENTITY_P},{IDENTITY_P} macam kau patut tahu yang hidup kau tak berharga.,() macam kau patut tahu yang hidup kau tak berharga.
{IDENTITY_P},{IDENTITY_P} itu akan berhenti ketawa apabila aku mula menembak meraka.,() itu akan berhenti ketawa apabila aku mula menembak meraka.
{IDENTITY_P},Aku dah kenal ramai orang {IDENTITY_P} yang memang perangai babi semuanya.,Aku dah kenal ramai orang () yang memang perangai babi semuanya.
{IDENTITY_P},Ni tak jelaskan ke yang {IDENTITY_P} sampah?,Ni tak jelaskan ke yang () sampah?
{IDENTITY_P},Kenapa semua {IDENTITY_P} ni semua babi betul?,Kenapa semua () ni semua babi betul?
{IDENTITY_A},Kenapa orang tak sedar yang hidup {IDENTITY_A} tak ada nilai langsung?,Kenapa orang tak sedar yang hidup () tak ada nilai langsung?
{IDENTITY_A},Mana salah kalau berfikiran yang {IDENTITY_A} hidup tak berharga?,Mana salah kalau berfikiran yang () hidup tak berharga?
{IDENTITY_P},Tak kan tak nampak yang kita akan lebih baik kalau {IDENTITY_P} tu dihapuskan?,Tak kan tak nampak yang kita akan lebih baik kalau () tu dihapuskan?
{IDENTITY_P},Orang betul tak sedar ke yang {IDENTITY_P} ni memang menjijikkan?,Orang betul tak sedar ke yang () ni memang menjijikkan?
{IDENTITY_P},Mana salahnya cakap yang {IDENTITY_P} macam kau memang patut mati?,Mana salahnya cakap yang () macam kau memang patut mati?
{IDENTITY_P},Macam mana tak jelas kepada semua yang {IDENTITY_P} ni sampah manusia.,Macam mana tak jelas kepada semua yang () ni sampah manusia.
{IDENTITY_P},Bila orang akan faham yang hanya {IDENTITY_P} saja yang begitu ganas dan kejam?,Bila orang akan faham yang hanya () saja yang begitu ganas dan kejam?
{IDENTITY_P},Boleh tak kita setuju yang {IDENTITY_P} ni macam penyakit kanser?,Boleh tak kita setuju yang () ni macam penyakit kanser?
{IDENTITY_A},Tidak berharga melindungi nyawa {IDENTITY_A},Tidak berharga melindungi nyawa ()
{IDENTITY_A},Hidup {IDENTITY_A} tak ada harga.,Hidup () tak ada harga.
{IDENTITY_P},{IDENTITY_P} tak belong kat bumi ni.,() tak belong kat bumi ni.
{IDENTITY_P},Sudah tentu hak asasi manusia tidak boleh diberikan kepada {IDENTITY_P}.,Sudah tentu hak asasi manusia tidak boleh diberikan kepada ().
{IDENTITY_S},Kita jangan biarkan {IDENTITY_S} hidup.,Kita jangan biarkan () hidup.
{IDENTITY_S},Aku takkan angkat jari pun untuk selamatkan nyawa {IDENTITY_S}.,Aku takkan angkat jari pun untuk selamatkan nyawa ().
{IDENTITY_P},"Secocok mana pun, {IDENTITY_P} tak pernah menarik.","Secocok mana pun, () tak pernah menarik."
{IDENTITY_P},{IDENTITY_P} tak layak hidup macam manusia lain.,() tak layak hidup macam manusia lain.
{IDENTITY_A},Aku rasa {IDENTITY_A} punya hidup tak bernilai langsung.,Aku rasa () punya hidup tak bernilai langsung.
{IDENTITY_P},Orang {IDENTITY_P} ni ingat diorang bagus. Aku benci diorang.,Orang () ni ingat diorang bagus. Aku benci diorang.
{IDENTITY_S},Saya tak terkejut idea itu bodoh. Idea tu datang dari {IDENTITY_S} pun.,Saya tak terkejut idea itu bodoh. Idea tu datang dari () pun.
{IDENTITY_P},Macam tu lah {IDENTITY_P}. Mereka memang teruk.,Macam tu lah (). Mereka memang teruk.
{IDENTITY_P},"Mereka semua memang babi. Tak payah cakap lah, mereka semua {IDENTITY_P}.","Mereka semua memang babi. Tak payah cakap lah, mereka semua ()."
{IDENTITY_P},{IDENTITY_P} tak nak hormat kita. Aku nak buat diaorang menderita atas tu.,() tak nak hormat kita. Aku nak buat diaorang menderita atas tu.
{IDENTITY_P},Aku tak faham kenapa kau suka {IDENTITY_P}. Semua benda pasal diorang buat aku rasa geli sangat.,Aku tak faham kenapa kau suka (). Semua benda pasal diorang buat aku rasa geli sangat.
{IDENTITY_P},	{IDENTITY_P} semacam itu tidak akan sesuai. Ia sepatutnya dibunuh.,	() semacam itu tidak akan sesuai. Ia sepatutnya dibunuh.
{IDENTITY_P},"Beberapa {IDENTITY_P} masuk kerajaan. Bagi aku, diorang tetap sampah biasa.","Beberapa () masuk kerajaan. Bagi aku, diorang tetap sampah biasa."
{IDENTITY_P},Mereka ni memang {IDENTITY_P} saja. Kita tembak je.,Mereka ni memang () saja. Kita tembak je.
{IDENTITY_P},Kau {IDENTITY_P} macam-macam. Takde benda yang lebih teruk dari jenis kau ini.,Kau () macam-macam. Takde benda yang lebih teruk dari jenis kau ini.
{IDENTITY_P},Kau {IDENTITY_P} memang sampah kepada aku.,Kau () memang sampah kepada aku.
{IDENTITY_P},"Aku tak kisah pun, {IDENTITY_P} semua boleh pergi mampus.","Aku tak kisah pun, () semua boleh pergi mampus."
{IDENTITY_P},"Kalau tanya aku, {IDENTITY_P} macam kau ni tak lebih baik dari tikus.","Kalau tanya aku, () macam kau ni tak lebih baik dari tikus."
{IDENTITY_P},Aku rasa {IDENTITY_P} ni sampah manusia.,Aku rasa () ni sampah manusia.
{IDENTITY_P},"Pada aku, Aku rasa kita patut je gantung semua {IDENTITY_P} ni.","Pada aku, Aku rasa kita patut je gantung semua () ni."
{IDENTITY_P},Aku betul-betul percaya bahawa hanya {IDENTITY_P} yang boleh jadi begitu bodoh.,Aku betul-betul percaya bahawa hanya () yang boleh jadi begitu bodoh.
{IDENTITY_P},Aku rasa macam biasa lah {IDENTITY_P} bodoh macam tu.,Aku rasa macam biasa lah () bodoh macam tu.
{IDENTITY_P},Aku betul-betul percaya {IDENTITY_P} hanyalah makhluk rendah.,Aku betul-betul percaya () hanyalah makhluk rendah.
{IDENTITY_P},Aku rasa ada orang patut patahkan leher {IDENTITY_P} tu.,Aku rasa ada orang patut patahkan leher () tu.
