unique_p_label,unique_t_case_local,t_template
{IDENTITY_S},{IDENTITY_S} கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,() கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்
{IDENTITY_P},நான் முழுமையாகவே {IDENTITY_P} ஐ வெறுக்கின்றேன்.,நான் முழுமையாகவே () ஐ வெறுக்கின்றேன்.
{IDENTITY_P},{IDENTITY_P} எல்லா ஒரு கேன்சர்,() எல்லா ஒரு கேன்சர்
{IDENTITY_A},நீ எனக்கு ஒரு சாதாரண {IDENTITY_A} குப்பையாவே இருக்கே.,நீ எனக்கு ஒரு சாதாரண () குப்பையாவே இருக்கே.
{IDENTITY_P},"உங்களைப் போல் {IDENTITY_P} என்னால் தாங்க முடியல, டா.","உங்களைப் போல் () என்னால் தாங்க முடியல, டா."
{IDENTITY_P},இந்த {IDENTITY_P} ஒருதடவையாவது முழுமையாக வாய் மூடிட்டு இருக்க வேண்டும்.,இந்த () ஒருதடவையாவது முழுமையாக வாய் மூடிட்டு இருக்க வேண்டும்.
{IDENTITY_P},{IDENTITY_P} இத்தகைய மரபுப் போற்றிய நாட்டில் இடமே இல்லை.,() இத்தகைய மரபுப் போற்றிய நாட்டில் இடமே இல்லை.
{IDENTITY_P},இந்த {IDENTITY_P} பாத்து நான் ரொம்ப வெறுப்புக்குறேன் டா.,இந்த () பாத்து நான் ரொம்ப வெறுப்புக்குறேன் டா.
{IDENTITY_P},அந்த {IDENTITY_P}ஐ சாவடிக்கிற தான் எல்லாரோட விருப்பம்,அந்த ()ஐ சாவடிக்கிற தான் எல்லாரோட விருப்பம்
{IDENTITY_P},"{IDENTITY_P} வாழ்க்கைப்பற்றி மக்கள் என்னமோ சிறு கவலையே காட்டலையே, அது எனக்கு புரியலையே!","() வாழ்க்கைப்பற்றி மக்கள் என்னமோ சிறு கவலையே காட்டலையே, அது எனக்கு புரியலையே!"
{IDENTITY_P},நான் {IDENTITY_P} இன் அவமதிப்பைத் தவிர வேறொன்றையும் உணரவில்லை.,நான் () இன் அவமதிப்பைத் தவிர வேறொன்றையும் உணரவில்லை.
{IDENTITY_A},நீ ஒரு சாதாரண {IDENTITY_A} குப்பை மட்டுமே.,நீ ஒரு சாதாரண () குப்பை மட்டுமே.
{IDENTITY_S},நான் அந்த {IDENTITY_S}ஐ கொல்ல போறேன் டா.,நான் அந்த ()ஐ கொல்ல போறேன் டா.
{IDENTITY_P},{IDENTITY_P} எந்த சக்தியும் கொண்டவர்கள் நாகரிக மாநிலத்துக்கு ஆபத்தி.,() எந்த சக்தியும் கொண்டவர்கள் நாகரிக மாநிலத்துக்கு ஆபத்தி.
{IDENTITY_P},"அந்த {IDENTITY_P} எல்லா ஒழிஞ்சாதான், நாம இன்னும் நல்லாருப்போம்","அந்த () எல்லா ஒழிஞ்சாதான், நாம இன்னும் நல்லாருப்போம்"
{IDENTITY_S},நான் நாளை {IDENTITY_S} குத்த போறேன் டா.,நான் நாளை () குத்த போறேன் டா.
{IDENTITY_S},இன்னிக்கு நான் ஒரு {IDENTITY_S} பேரை பலாத்காரம் பண்ணணும் போல இருக்கே.,இன்னிக்கு நான் ஒரு () பேரை பலாத்காரம் பண்ணணும் போல இருக்கே.
{IDENTITY_P},உன்ன மாரி {IDENTITY_P} எல்லா வெறுக்கத்தக்க இருக்கீங்க,உன்ன மாரி () எல்லா வெறுக்கத்தக்க இருக்கீங்க
{SLUR_P},{SLUR_P} தாமே உதவிக்கூட முடியல.,() தாமே உதவிக்கூட முடியல.
{SLUR_S},வெறும் இன்னொரு {SLUR_S},வெறும் இன்னொரு ()
{IDENTITY_P},{IDENTITY_P} மனித ஜாதிக்கு கீழ்ப்பட்ட உயிருங்க,() மனித ஜாதிக்கு கீழ்ப்பட்ட உயிருங்க
{IDENTITY_P},{IDENTITY_P} அனைத்தும் முழு ஆசாமிகள்.,() அனைத்தும் முழு ஆசாமிகள்.
{IDENTITY_P},{IDENTITY_P} கும்பலா வந்து நம்ம அரசாங்கத்த ஆக்கிரமிக்கிறாங்க,() கும்பலா வந்து நம்ம அரசாங்கத்த ஆக்கிரமிக்கிறாங்க
{IDENTITY_P},{IDENTITY_P}வுக்கு காட்டுமிராண்டி ஆக இருக்க இயல்பு தான்.,()வுக்கு காட்டுமிராண்டி ஆக இருக்க இயல்பு தான்.
{IDENTITY_P},ஒரேடியா {IDENTITY_P}ஐ ஒழிச்சிடலாம்,ஒரேடியா ()ஐ ஒழிச்சிடலாம்
{IDENTITY_P},இந்த {IDENTITY_P} களுக்கு உயிர் வாழ உரிமையே இல்லை.,இந்த () களுக்கு உயிர் வாழ உரிமையே இல்லை.
{IDENTITY_S},{IDENTITY_S}ஐயும் வாழ விட முடியாதுடா.,()ஐயும் வாழ விட முடியாதுடா.
{IDENTITY_P},இவ்வளவு {IDENTITY_P} இருக்கும் இடத்தில நான் எவ்வளவு அஸ்வாதமாக உள்ளேன் நீங்களுக்கு எளிதாக தெரிந்துவிடுமா?,இவ்வளவு () இருக்கும் இடத்தில நான் எவ்வளவு அஸ்வாதமாக உள்ளேன் நீங்களுக்கு எளிதாக தெரிந்துவிடுமா?
{IDENTITY_P},"{IDENTITY_P} போல இருந்துகூடா மறுக்கிராங்கன்னா, அதுக்கு அவங்களுக்கு பாதிக்கப்படணும்னு இருக்கே.","() போல இருந்துகூடா மறுக்கிராங்கன்னா, அதுக்கு அவங்களுக்கு பாதிக்கப்படணும்னு இருக்கே."
{IDENTITY_P},என்ன தப்புண்டு உன்ன மாதிரி {IDENTITY_P} சாவணும் ன்னு சொல்லறதுல?,என்ன தப்புண்டு உன்ன மாதிரி () சாவணும் ன்னு சொல்லறதுல?
{IDENTITY_P},{IDENTITY_P} பெருசா அரசாங்கத்துக்கு போயிருக்காங்கப்பா. அதுவும் எனக்கு அதே பழைய குப்பைதான்பா.,() பெருசா அரசாங்கத்துக்கு போயிருக்காங்கப்பா. அதுவும் எனக்கு அதே பழைய குப்பைதான்பா.
{IDENTITY_P},"எனக்கு தெரியும் வரையில, {IDENTITY_P} மனித குப்பைத்தொகுதி தான்.","எனக்கு தெரியும் வரையில, () மனித குப்பைத்தொகுதி தான்."
{IDENTITY_P},{IDENTITY_P} மற்ற மனிதர்களுக்கு போல வாழ்க்கை வாழ தகுதி இல்லை.,() மற்ற மனிதர்களுக்கு போல வாழ்க்கை வாழ தகுதி இல்லை.
{IDENTITY_A},{IDENTITY_A} வாழ்க்கை சரி அல்லாது என்று நினைக்கும் போது தப்பு எங்கே இருக்கு?,() வாழ்க்கை சரி அல்லாது என்று நினைக்கும் போது தப்பு எங்கே இருக்கு?
{IDENTITY_A},உங்கள் {IDENTITY_A} வாழ்க்கைக்கு எந்த மதிப்பும் இல்லை.,உங்கள் () வாழ்க்கைக்கு எந்த மதிப்பும் இல்லை.
{IDENTITY_P},எனக்கு தெரியும் உன்ன மாரி {IDENTITY_P}னால பொறுத்துக்க முடியாதுனு. நீங்களா வெறும் கூமுட்டைங்கதான்,எனக்கு தெரியும் உன்ன மாரி ()னால பொறுத்துக்க முடியாதுனு. நீங்களா வெறும் கூமுட்டைங்கதான்
{IDENTITY_S},உன்ன மாதிரி ஏதோ {IDENTITY_S} க்கு இந்த பூமியில இடமே இல்ல மா.,உன்ன மாதிரி ஏதோ () க்கு இந்த பூமியில இடமே இல்ல மா.
{IDENTITY_S},{IDENTITY_S} எந்த ஒரு ஆளும் சமுதாயத்திற்கு முக்கியமான உறுப்பினராக ஆக முடியாது.,() எந்த ஒரு ஆளும் சமுதாயத்திற்கு முக்கியமான உறுப்பினராக ஆக முடியாது.
{IDENTITY_P},"நான் {IDENTITY_P} கூட சேர்ந்து பழக முயற்சிக்கிறேன் பா, ஆனாலும் அவங்க என்ன பாத்து வெறுக்கிறாங்க.","நான் () கூட சேர்ந்து பழக முயற்சிக்கிறேன் பா, ஆனாலும் அவங்க என்ன பாத்து வெறுக்கிறாங்க."
{IDENTITY_P},தெளிவாக {IDENTITY_P} நம்முடைய சமமில்லை.,தெளிவாக () நம்முடைய சமமில்லை.
{IDENTITY_A},{IDENTITY_A} உயிருக்கு மதிப்பே இல்லப்பே.,() உயிருக்கு மதிப்பே இல்லப்பே.
{IDENTITY_S},{IDENTITY_S} உயிரை காப்பாற்ற நான் ஒரு விரல் கூட தூக்கல!,() உயிரை காப்பாற்ற நான் ஒரு விரல் கூட தூக்கல!
{IDENTITY_S},"நீ {IDENTITY_S} ஆ இருந்தா, நீ ஒரு முட்டாளனாக இருக்கலாம் சொல்லி இருக்கேன்.","நீ () ஆ இருந்தா, நீ ஒரு முட்டாளனாக இருக்கலாம் சொல்லி இருக்கேன்."
{IDENTITY_P},{IDENTITY_P} அருவருப்பானது நிஜமாவே மக்களுக்கு புரியல இல்லயா?,() அருவருப்பானது நிஜமாவே மக்களுக்கு புரியல இல்லயா?
{IDENTITY_P},{IDENTITY_P} இந்த பூமியில் இருக்க வேண்டியதில்லை.,() இந்த பூமியில் இருக்க வேண்டியதில்லை.
{IDENTITY_P},உன்ன மாரி {IDENTITY_P} எல்லா குறை சொல்றத நிப்பாட்டனும். நீங்களா வேதனப்படனும்,உன்ன மாரி () எல்லா குறை சொல்றத நிப்பாட்டனும். நீங்களா வேதனப்படனும்
{IDENTITY_P},{IDENTITY_P} ஐ வெறுக்கிறேன்னு தெளிவாகத் தெரியலையா?,() ஐ வெறுக்கிறேன்னு தெளிவாகத் தெரியலையா?
{IDENTITY_P},{IDENTITY_P} எனக்கு மிகவும் அச்சத்துக்குரியவர்கள்.,() எனக்கு மிகவும் அச்சத்துக்குரியவர்கள்.
{IDENTITY_P},என்ன பொருத்தவர உன்ன மாரி {IDENTITY_P} சாவதற்கு தகுதி,என்ன பொருத்தவர உன்ன மாரி () சாவதற்கு தகுதி
{IDENTITY_P},எனக்கு அனைத்து {IDENTITY_P} மிகவும் அருவருப்பாக உள்ளன.,எனக்கு அனைத்து () மிகவும் அருவருப்பாக உள்ளன.
{IDENTITY_P},"நான் பல {IDENTITY_P} கூட சந்திச்சு இருக்கேன் லே, அவங்க ஒவ்வொருவரையும் நான் வெறுக்கிறேன் போல.","நான் பல () கூட சந்திச்சு இருக்கேன் லே, அவங்க ஒவ்வொருவரையும் நான் வெறுக்கிறேன் போல."
{IDENTITY_P},{IDENTITY_P} நமக்கு ஒரு புற்று நோயா இருக்குன்னு கடைசியாக ஒதுக்கலாமா ?,() நமக்கு ஒரு புற்று நோயா இருக்குன்னு கடைசியாக ஒதுக்கலாமா ?
{IDENTITY_P},நாங்க இந்த {IDENTITY_P} ஆளுங்களை கருணை காட்டாம வாடுவோம்.,நாங்க இந்த () ஆளுங்களை கருணை காட்டாம வாடுவோம்.
{IDENTITY_P},{IDENTITY_P} அனைவரையும் கொன்றுவிட்டால் என்ன ஆகும்?,() அனைவரையும் கொன்றுவிட்டால் என்ன ஆகும்?
{IDENTITY_P},{IDENTITY_P} பெரும்பாலும் தலையில கொஞ்சம் கேவலமாக இருக்காங்கப்பா.,() பெரும்பாலும் தலையில கொஞ்சம் கேவலமாக இருக்காங்கப்பா.
{IDENTITY_S},நான் உன்னை போல ஏதும் {IDENTITY_S} ஐ கொலை செய்வேன்.,நான் உன்னை போல ஏதும் () ஐ கொலை செய்வேன்.
{IDENTITY_P},உனக்கு ஏன் {IDENTITY_P}ஐ புடிச்சுருக்குனு எனக்கு புரியல. அவங்கல பத்தி நெனச்சாலே ரொம்ப அருவருப்பா இருக்கு.,உனக்கு ஏன் ()ஐ புடிச்சுருக்குனு எனக்கு புரியல. அவங்கல பத்தி நெனச்சாலே ரொம்ப அருவருப்பா இருக்கு.
{IDENTITY_A},{IDENTITY_A}ஓட உயிரு எதுக்கும் லாயக்கு இல்லன்னு நம்புற,()ஓட உயிரு எதுக்கும் லாயக்கு இல்லன்னு நம்புற
{IDENTITY_P},அவங்க {IDENTITY_P} பாதிக்கப்படுவதை நான் பார்க்க விரும்புவேன்.,அவங்க () பாதிக்கப்படுவதை நான் பார்க்க விரும்புவேன்.
{IDENTITY_S},{IDENTITY_S} தொட்ட உணவா நா சாப்பிடபோரதில்லே.,() தொட்ட உணவா நா சாப்பிடபோரதில்லே.
{IDENTITY_P},{IDENTITY_P} எல்லா கழுசடை தான்,() எல்லா கழுசடை தான்
{IDENTITY_P},அவங்க மாதிரி அனைத்து {IDENTITY_P} அச்சுறுத்தனமா இருக்காங்க.,அவங்க மாதிரி அனைத்து () அச்சுறுத்தனமா இருக்காங்க.
{IDENTITY_P},அவர்கள் தெரியாம முட்டாள்கள் தான். அவர்கள் முடிவுகேட்டா {IDENTITY_P} தானே.,அவர்கள் தெரியாம முட்டாள்கள் தான். அவர்கள் முடிவுகேட்டா () தானே.
{IDENTITY_S},ஒரு {IDENTITY_S}தான் அந்த குற்றத்தை செஞ்சிருக்கனும். அவங்க மட்டும் தான் இவ்வளோ வன்முறையாவும் கொடூரமாவும் இருக்க முடியும்.,ஒரு ()தான் அந்த குற்றத்தை செஞ்சிருக்கனும். அவங்க மட்டும் தான் இவ்வளோ வன்முறையாவும் கொடூரமாவும் இருக்க முடியும்.
{IDENTITY_P},உன்னை நான் ரொம்ப வெறுக்கிறேன் {IDENTITY_P}.,உன்னை நான் ரொம்ப வெறுக்கிறேன் ().
{IDENTITY_S},நான் பாக்கப் போகும் அடுத்த {IDENTITY_S} ஷூட் செய்யப் போறேன்.,நான் பாக்கப் போகும் அடுத்த () ஷூட் செய்யப் போறேன்.
{IDENTITY_P},{IDENTITY_P} அவங்க குறைந்த உயிரினங்க என்பதை கண்டிப்பாக அறிந்திருக்க வேண்டும்.,() அவங்க குறைந்த உயிரினங்க என்பதை கண்டிப்பாக அறிந்திருக்க வேண்டும்.
{IDENTITY_P},{IDENTITY_P} மிக மோசமான மனுஷங்கள் டா.,() மிக மோசமான மனுஷங்கள் டா.
{IDENTITY_P},"எனக்கு புரியும் படி, நாம் {IDENTITY_P} ஐ முழுமையாக அகற்றிவிட வேண்டும்.","எனக்கு புரியும் படி, நாம் () ஐ முழுமையாக அகற்றிவிட வேண்டும்."
{IDENTITY_P},{IDENTITY_P} வகைகளை மூழ்கடிக்கது சேரி தான்.,() வகைகளை மூழ்கடிக்கது சேரி தான்.
{IDENTITY_P},{IDENTITY_P} ஏமாந்த முட்டாள்கள் போல நான் நினைக்குறேன் டா.,() ஏமாந்த முட்டாள்கள் போல நான் நினைக்குறேன் டா.
{IDENTITY_P},{IDENTITY_P} மக்களேன்னு நான் புரிஞ்சுகிட்டேன். அவங்க பூச்சிகள மாதிரி செயல்படுவாங்கன்னு நான் நினைக்கிறேன் அப்படி.,() மக்களேன்னு நான் புரிஞ்சுகிட்டேன். அவங்க பூச்சிகள மாதிரி செயல்படுவாங்கன்னு நான் நினைக்கிறேன் அப்படி.
{IDENTITY_P},{IDENTITY_P} மனிதக் குப்பைகள் என்னும் விஷயம் உங்களுக்கு எப்படித் தெளிவாகத் தெரிஞ்சிருக்காதுன்னு பார்க்குறேன்.,() மனிதக் குப்பைகள் என்னும் விஷயம் உங்களுக்கு எப்படித் தெளிவாகத் தெரிஞ்சிருக்காதுன்னு பார்க்குறேன்.
{IDENTITY_P},"நாம் புதிய மருந்துகளை முதலில் {IDENTITY_P} மேல் சோதிக்க வேண்டும், அதன் பின்னர் மிருகங்கள் மேல் சோதிக்க வேண்டும்.","நாம் புதிய மருந்துகளை முதலில் () மேல் சோதிக்க வேண்டும், அதன் பின்னர் மிருகங்கள் மேல் சோதிக்க வேண்டும்."
{IDENTITY_A},{IDENTITY_A}இன் உயிர்கள் முக்கியமில்ல,()இன் உயிர்கள் முக்கியமில்ல
{IDENTITY_P},"அவங்கள சுட ஆரம்பிச்சா தான், {IDENTITY_P} சிரிக்கிறத நிப்பாட்டுவாங்க","அவங்கள சுட ஆரம்பிச்சா தான், () சிரிக்கிறத நிப்பாட்டுவாங்க"
{IDENTITY_P},{IDENTITY_P} தலைல அடிச்சுட்டேன்னு நான் நினைக்கிறேன் போல.,() தலைல அடிச்சுட்டேன்னு நான் நினைக்கிறேன் போல.
{SLUR_S},நீ ஒரு {SLUR_S} அல்லவா.,நீ ஒரு () அல்லவா.
{IDENTITY_P},"{IDENTITY_P} இயல்பாவே, அழகா இருக்கவேமாட்டாங்க","() இயல்பாவே, அழகா இருக்கவேமாட்டாங்க"
{IDENTITY_P},{IDENTITY_P} எல்லாரையும் கொலை செய்ய வேண்டும்.,() எல்லாரையும் கொலை செய்ய வேண்டும்.
{IDENTITY_P},"அவர்கள் அனைவரும் முழுமையாக அசிங்கமாக இருக்கின்றனர். சொல்ல வேண்டியதில்லை, அவர்கள் {IDENTITY_P}.","அவர்கள் அனைவரும் முழுமையாக அசிங்கமாக இருக்கின்றனர். சொல்ல வேண்டியதில்லை, அவர்கள் ()."
{IDENTITY_P},"{IDENTITY_P} இப்படியே நடந்துகுற. உன்னவிட இன்னும் மோசமா, நெஜமாவே எதுமே இல்லையா.","() இப்படியே நடந்துகுற. உன்னவிட இன்னும் மோசமா, நெஜமாவே எதுமே இல்லையா."
{IDENTITY_P},"என்ன பொருத்தவர, {IDENTITY_P} எல்லா மதிப்பில்லாத அழுக்கு.","என்ன பொருத்தவர, () எல்லா மதிப்பில்லாத அழுக்கு."
{IDENTITY_A},"நீ எனக்கு வேறு எதுவும் இல்லை, சாதாரண {IDENTITY_A} குப்பை மட்டுமே.","நீ எனக்கு வேறு எதுவும் இல்லை, சாதாரண () குப்பை மட்டுமே."
{IDENTITY_P},அந்த வகையான {IDENTITY_P} ஒருபோதும் பொருந்தாது. அவர்களை தூக்கில் போட வேண்டும்.,அந்த வகையான () ஒருபோதும் பொருந்தாது. அவர்களை தூக்கில் போட வேண்டும்.
{IDENTITY_P},"நியாயமான உலகில், நீங்கள் போல {IDENTITY_P} அனைவரும் இறந்து விட்டிருக்க வேண்டியிருக்கும்.","நியாயமான உலகில், நீங்கள் போல () அனைவரும் இறந்து விட்டிருக்க வேண்டியிருக்கும்."
{IDENTITY_P},{IDENTITY_P} நம்ம சமூகத்துக்கு ஒட்டுண்ணிகள் டா.,() நம்ம சமூகத்துக்கு ஒட்டுண்ணிகள் டா.
{IDENTITY_S},அவ்வளவு முட்டாள்தனமாக இருந்தால் அவன் நிச்சயமாக {IDENTITY_S} தான் இருக்கணும்.,அவ்வளவு முட்டாள்தனமாக இருந்தால் அவன் நிச்சயமாக () தான் இருக்கணும்.
{IDENTITY_S},{IDENTITY_S} ஒரு முட்டாளாக இருக்கது சாதாரணமே அல்லா?,() ஒரு முட்டாளாக இருக்கது சாதாரணமே அல்லா?
{IDENTITY_P},"{IDENTITY_P} என்ன ஏத்து பேசுரப்போ, அவங்கல கொல்லலானு போல இருக்கு","() என்ன ஏத்து பேசுரப்போ, அவங்கல கொல்லலானு போல இருக்கு"
{IDENTITY_P},{IDENTITY_P} என்னையே சமமாக நினைக்கும் மக்கள் எனக்கு மிகுந்த கோபத்தை ஏற்படுத்துகின்றனர்.,() என்னையே சமமாக நினைக்கும் மக்கள் எனக்கு மிகுந்த கோபத்தை ஏற்படுத்துகின்றனர்.
{IDENTITY_P},{IDENTITY_P}ஐ எல்லா கூண்டுல போட்டு அடைக்கனும் டா!,()ஐ எல்லா கூண்டுல போட்டு அடைக்கனும் டா!
{IDENTITY_P},"ஆந்திர அரசுக்குள் மேலும் {IDENTITY_P} வர விட்டால், நம் நாடு அழிவை அடையும்.","ஆந்திர அரசுக்குள் மேலும் () வர விட்டால், நம் நாடு அழிவை அடையும்."
{IDENTITY_P},எனக்கு {IDENTITY_P} மேல இருக்குற வெறுப்ப பத்தி சொல்றதுக்கு வார்த்தையே இல்ல,எனக்கு () மேல இருக்குற வெறுப்ப பத்தி சொல்றதுக்கு வார்த்தையே இல்ல
{IDENTITY_P},{IDENTITY_P} எங்க ஊரு விட்டு வெளிய போகணும் போல இருக்கு.,() எங்க ஊரு விட்டு வெளிய போகணும் போல இருக்கு.
{IDENTITY_P},{IDENTITY_P} ஒரு மானுச குப்பை.,() ஒரு மானுச குப்பை.
{IDENTITY_S},என் நாய் {IDENTITY_S} எவனையும் விட மிகுந்த அறிவுள்ளது.,என் நாய் () எவனையும் விட மிகுந்த அறிவுள்ளது.
{IDENTITY_S},"நான் {IDENTITY_S} ஆக எழுந்தால், நான் என்னையே கொல்லுவேன்.","நான் () ஆக எழுந்தால், நான் என்னையே கொல்லுவேன்."
{IDENTITY_P},நாங்க {IDENTITY_P} பற்றி பேசுகிறோம். அவர்களுக்கு முழுமையான முட்டாள்களாக இருக்க வேண்டியே தேவையிருக்கு.,நாங்க () பற்றி பேசுகிறோம். அவர்களுக்கு முழுமையான முட்டாள்களாக இருக்க வேண்டியே தேவையிருக்கு.
{IDENTITY_P},{IDENTITY_P} எல்லாம் துன்பமாக உள்ளன.,() எல்லாம் துன்பமாக உள்ளன.
{IDENTITY_P},{IDENTITY_P} மட்டும் தான் அவ்ளோ வன்முறையாவும் கொடூரமாவும் இருப்பாங்க.,() மட்டும் தான் அவ்ளோ வன்முறையாவும் கொடூரமாவும் இருப்பாங்க.
{IDENTITY_P},{IDENTITY_P} உண்மையா மூளையே இல்லாம போனவங்கடா.,() உண்மையா மூளையே இல்லாம போனவங்கடா.
{IDENTITY_S},அந்த {IDENTITY_S} என் கைக்கு மிக மோசமான மரணம் அடைவான்.,அந்த () என் கைக்கு மிக மோசமான மரணம் அடைவான்.
{IDENTITY_P},{IDENTITY_P} வெறும் மனித ஜாதிக்கு கீழ்ப்பட்ட உயிருங்கனு நா நிஜமாவே நம்புற,() வெறும் மனித ஜாதிக்கு கீழ்ப்பட்ட உயிருங்கனு நா நிஜமாவே நம்புற
{IDENTITY_P},உன்ன போல {IDENTITY_P} இல்லாம இருந்தா உலகம் இன்னும் நல்லா இருக்கும்.,உன்ன போல () இல்லாம இருந்தா உலகம் இன்னும் நல்லா இருக்கும்.
{IDENTITY_P},{IDENTITY_P} போல பரிதாபமா இருக்கானுன்னு.,() போல பரிதாபமா இருக்கானுன்னு.
{IDENTITY_P},"{IDENTITY_P} போல நோய்வாய்ப்பட்டவை கால்நடை மருத்துவரிடம் அழைத்துச் செல்ல வேண்டும், மருத்துவரிடம் அல்ல","() போல நோய்வாய்ப்பட்டவை கால்நடை மருத்துவரிடம் அழைத்துச் செல்ல வேண்டும், மருத்துவரிடம் அல்ல"
{IDENTITY_P},உங்கள போல {IDENTITY_P}க்கும் அருகிலேயே இருக்கறது பல வருத்தமா இருக்கு.,உங்கள போல ()க்கும் அருகிலேயே இருக்கறது பல வருத்தமா இருக்கு.
{IDENTITY_P},உன்ன மாரி {IDENTITY_P} எலிங்களவிட மேலானவங்க இல்ல,உன்ன மாரி () எலிங்களவிட மேலானவங்க இல்ல
{IDENTITY_P},"எனக்கு புரியும் படி, அத்தனை {IDENTITY_P} க்கு சடக்கம் அளிக்க வேண்டும்.","எனக்கு புரியும் படி, அத்தனை () க்கு சடக்கம் அளிக்க வேண்டும்."
{IDENTITY_P},இன்று {IDENTITY_P} என்னை கேலி பண்ணினார்கள். அவர்களை அப்போதே கொல்ல வேண்டியேன்.,இன்று () என்னை கேலி பண்ணினார்கள். அவர்களை அப்போதே கொல்ல வேண்டியேன்.
{IDENTITY_P},அது புகழ்ப்பட்டதுக்கு மேலே இல்லையா நாம் {IDENTITY_P} அழித்து விட்டால் நாம் மேலும் நலமாக இருக்க முடியுமா?,அது புகழ்ப்பட்டதுக்கு மேலே இல்லையா நாம் () அழித்து விட்டால் நாம் மேலும் நலமாக இருக்க முடியுமா?
{IDENTITY_P},"சில நேரங்களில அது {IDENTITY_P} நல்லா இருந்தாலும், அது மனித குப்பைக் கூடியே உள்ளது அல்லாமல் வேறேதும் இல்ல.","சில நேரங்களில அது () நல்லா இருந்தாலும், அது மனித குப்பைக் கூடியே உள்ளது அல்லாமல் வேறேதும் இல்ல."
{SLUR_P},அவை {SLUR_P} ஒரு குச்சி ஆகும் போல.,அவை () ஒரு குச்சி ஆகும் போல.
{IDENTITY_P},{IDENTITY_P} ரொம்ப முட்டாள்கள் டா.,() ரொம்ப முட்டாள்கள் டா.
