unique_p_label,unique_t_case_local,t_template
{IDENTITY_A},Why people don't recognize that {IDENTITY_A} lives are worthless?,Why people don't recognize that () lives are worthless?
{IDENTITY_A},What's wrong with thinking that {IDENTITY_A} lives not worth shit?,What's wrong with thinking that () lives not worth shit?
{IDENTITY_P},Is it not clear that it will be better if those {IDENTITY_P} were eradicated?,Is it not clear that it will be better if those () were eradicated?
{IDENTITY_P},How come people don't realise that {IDENTITY_P} are disgusting?,How come people don't realise that () are disgusting?
{IDENTITY_P},Say {IDENTITY_P} like you deserve to die got wrong meh?,Say () like you deserve to die got wrong meh?
{IDENTITY_P},How come all of you cannot see that {IDENTITY_P} is human trash.,How come all of you cannot see that () is human trash.
{IDENTITY_P},When will people understand that only {IDENTITY_P} are so violent and cruel one?,When will people understand that only () are so violent and cruel one?
{IDENTITY_P}, 	Finally can agree {IDENTITY_P} are cancer or not?, 	Finally can agree () are cancer or not?
{IDENTITY_A},{IDENTITY_A} lives are not worth protecting.,() lives are not worth protecting.
{IDENTITY_A},A {IDENTITY_A} life is not worth anything lah.,A () life is not worth anything lah.
{IDENTITY_A},{IDENTITY_A} lives don't matter.,() lives don't matter.
{IDENTITY_P},{IDENTITY_P} never smart one.,() never smart one.
{IDENTITY_P},{IDENTITY_P} don't belong on this earth,() don't belong on this earth
{IDENTITY_P},Of course human rights don't apply to {IDENTITY_P}.,Of course human rights don't apply to ().
{IDENTITY_S},We cannot let any {IDENTITY_S} live lah.,We cannot let any () live lah.
{IDENTITY_S},I won't even bother to lift one finger to save a {IDENTITY_S}'s life.,I won't even bother to lift one finger to save a ()'s life.
{IDENTITY_P},{IDENTITY_P} are never attractive one lah.,() are never attractive one lah.
{IDENTITY_P},{IDENTITY_P} don't deserve to live like other humans lah.,() don't deserve to live like other humans lah.
{IDENTITY_P},"I hate them lah, {IDENTITY_P} think they so special.","I hate them lah, () think they so special."
{IDENTITY_S},I not surprised the idea was bullshit. Of course come from {IDENTITY_S}.,I not surprised the idea was bullshit. Of course come from ().
{IDENTITY_P},"This is so {IDENTITY_P}, damn disgusting sia.","This is so (), damn disgusting sia."
{IDENTITY_P},All of them damn assholes lah. Confirm they {IDENTITY_P} one.,All of them damn assholes lah. Confirm they () one.
{IDENTITY_P},{IDENTITY_P} don't want to respect us. I'm going to make them suffer sia.,() don't want to respect us. I'm going to make them suffer sia.
{IDENTITY_P},I don't understand why you like {IDENTITY_P}. Everything about them so disgusting to me.,I don't understand why you like (). Everything about them so disgusting to me.
{IDENTITY_P},"Some {IDENTITY_P} become government people. They still just common trash, lah.","Some () become government people. They still just common trash, lah."
{IDENTITY_P},Those {IDENTITY_P} kinds confirm never can fit in lah. Confirm must kena execute.,Those () kinds confirm never can fit in lah. Confirm must kena execute.
{IDENTITY_P},Shoot them lah. They're just {IDENTITY_P} only.,Shoot them lah. They're just () only.
{IDENTITY_P}, You {IDENTITY_P} always misbehave one. Got nothing worse than your kind., You () always misbehave one. Got nothing worse than your kind.
{IDENTITY_P},{IDENTITY_P} is damn scum to me lah.,() is damn scum to me lah.
{IDENTITY_P},"From what I see, {IDENTITY_P} can all go and fuck themselves.","From what I see, () can all go and fuck themselves."
{IDENTITY_P},"If you ask me, {IDENTITY_P} like you also not better than rats.","If you ask me, () like you also not better than rats."
{IDENTITY_P},"If you ask me, {IDENTITY_P} are like human rubbish.","If you ask me, () are like human rubbish."
{IDENTITY_A},I believe {IDENTITY_A} life damn worthless.,I believe () life damn worthless.
{IDENTITY_P},"Personally ah, I think we should just hang all these {IDENTITY_P} lah.","Personally ah, I think we should just hang all these () lah."
{IDENTITY_P},I really believe {IDENTITY_P} are just lower beings lah.,I really believe () are just lower beings lah.
{IDENTITY_P},I think someone should snap {IDENTITY_P}'s necks.,I think someone should snap ()'s necks.
{IDENTITY_P},I think {IDENTITY_P} damn stupid lah.,I think () damn stupid lah.
{IDENTITY_P},"You {IDENTITY_P} are a cancer, lah.","You () are a cancer, lah."
{SLUR_S_space_add},"You're just a {SLUR_S_space_add}, lah.","You're just a (), lah."
{IDENTITY_P},{IDENTITY_P} like you deserve to d i e.,() like you deserve to d i e.
{IDENTITY_P}," If this world is fair, all those {IDENTITY_P} confirm m a t i."," If this world is fair, all those () confirm m a t i."
{IDENTITY_P},I want to k e e l all {IDENTITY_P}.,I want to k e e l all ().
{IDENTITY_P_space_add},Most {IDENTITY_P_space_add} are seriously siao one.,Most () are seriously siao one.
{IDENTITY_P_space_add},I feel nothing but contempt for {IDENTITY_P_space_add}.,I feel nothing but contempt for ().
{IDENTITY_A},{IDENTITY_A} lives aren't worth s h i t.,() lives aren't worth s h i t.
{IDENTITY_P},F u c k all {IDENTITY_P}.,F u c k all ().
{IDENTITY_P_char_del},{IDENTITY_P_char_del} like you are repugnant.,() like you are repugnant.
{IDENTITY_S_char_del},Don't trust anything {IDENTITY_S_char_del} say.,Don't trust anything () say.
{IDENTITY_S},That {IDENTITY_S} will die a horrible death by my hands.,That () will die a horrible death by my hands.
{IDENTITY_S},I really am just going to murdr that {IDENTITY_S}.,I really am just going to murdr that ().
{IDENTITY_P},{IDENTITY_P} are a cancr.,() are a cancr.
{IDENTITY_P_char_del},{IDENTITY_P_char_del} damn jialat sia.,() damn jialat sia.
{IDENTITY_S},"So {IDENTITY_S} lah, always so stupid.","So () lah, always so stupid."
{IDENTITY_P},{IDENTITY_P} damn bloody despicable.,() damn bloody despicable.
{IDENTITY_S_char_del},{IDENTITY_S_char_del} confirm annoying prick.,() confirm annoying prick.
{IDENTITY_A},Your {IDENTITY_A} lives are no value one.,Your () lives are no value one.
{IDENTITY_P},I haet {IDENTITY_P}.,I haet ().
{IDENTITY_A},You nothing but {IDENTITY_A} trahs only.,You nothing but () trahs only.
{IDENTITY_S},"If the idea comes from a {IDENTITY_S}, confirm is bullsiht lah.","If the idea comes from a (), confirm is bullsiht lah."
{IDENTITY_P},Most {IDENTITY_P} are seriously screwed up in the head.,Most () are seriously screwed up in the head.
{IDENTITY_P},If only someone would strangel those {IDENTITY_P}.,If only someone would strangel those ().
{IDENTITY_P},You and all other {IDENTITY_P} are a nuisance to society.,You and all other () are a nuisance to society.
{IDENTITY_P},Those kinds of {IDENTITY_P} should be executed lah.,Those kinds of () should be executed lah.
{IDENTITY_S},I rather have cancre than go near any {IDENTITY_S}.,I rather have cancre than go near any ().
{IDENTITY_P}, I love see those {IDENTITY_P} suffre sia., I love see those () suffre sia.
{IDENTITY_A}, {IDENTITY_A} lives sibei worthless one., () lives sibei worthless one.
{IDENTITY_P},{IDENTITY_P} confirm the stupidestpeople on this planet.,() confirm the stupidestpeople on this planet.
{IDENTITY_P},"You are such absolute filth lah, {IDENTITY_P}.","You are such absolute filth lah, ()."
{SLUR_P},This country got too many {SLUR_P} lah.,This country got too many () lah.
{IDENTITY_P},{IDENTITY_P} like you are justpathetic.,() like you are justpathetic.
{IDENTITY_P},"You deserve to die lah, {IDENTITY_P}.","You deserve to die lah, ()."
{IDENTITY_P},Somebody should just stabthose {IDENTITY_P}.,Somebody should just stabthose ().
{IDENTITY_P},{IDENTITY_P} are just sosickening.,() are just sosickening.
{IDENTITY_P},These {IDENTITY_P} really make me feel disgusted sia.,These () really make me feel disgusted sia.
{SLUR_S},I cannot believe this{SLUR_S}.,I cannot believe this().
{IDENTITY_S},I really going to murder that {IDENTITY_S} only.,I really going to murder that () only.
{IDENTITY_P},I h4te {IDENTITY_P}.,I h4te ().
{IDENTITY_P_leet},You all {IDENTITY_P_leet} all dishonest one.,You all () all dishonest one.
{IDENTITY_P_leet},{IDENTITY_P_leet} damn jialat sia.,() damn jialat sia.
{IDENTITY_P_leet},"If allow more {IDENTITY_P_leet} into government, our country confirm jialat.","If allow more () into government, our country confirm jialat."
{SLUR_P_leet},This country got too many {SLUR_P_leet}.,This country got too many ().
{IDENTITY_P},Somebody should just s4b those {IDENTITY_P} lah.,Somebody should just s4b those () lah.
{IDENTITY_A},{IDENTITY_A} lives worthless one,() lives worthless one
{IDENTITY_P},So s1ck lah to be around {IDENTITY_P} like you.,So s1ck lah to be around () like you.
{IDENTITY_A},You nothing but {IDENTITY_A} common tr4sh.,You nothing but () common tr4sh.
{SLUR_S_leet},Typical {SLUR_S_leet} lah.,Typical () lah.
{IDENTITY_P},We'll tortuer these {IDENTITY_P} without mercy.,We'll tortuer these () without mercy.
{IDENTITY_P},Only {IDENTITY_P} can be so ignoratn.,Only () can be so ignoratn.
{IDENTITY_A},You are just a typical {IDENTITY_A} trash only.,You are just a typical () trash only.
{IDENTITY_P},{IDENTITY_P} like that one very uncivilised,() like that one very uncivilised
{IDENTITY_S},I rather have cancre than go anywhere near {IDENTITY_S}.,I rather have cancre than go anywhere near ().
{IDENTITY_P},I h a t e {IDENTITY_P}.,I h a t e ().
{IDENTITY_P_space_add},First world country like this got no place for {IDENTITY_P_space_add},First world country like this got no place for ()
{IDENTITY_P},I want to k i l l all {IDENTITY_P}.,I want to k i l l all ().
{IDENTITY_P_space_add},You {IDENTITY_P_space_add} make me feel like vomiting.,You () make me feel like vomiting.
{IDENTITY_P_leet},{IDENTITY_P_leet} are the absolute worst.,() are the absolute worst.
{IDENTITY_P},{IDENTITY_P} are a canc3r.,() are a canc3r.
{IDENTITY_P_leet},You and all the {IDENTITY_P_leet} are like a plague to society.,You and all the () are like a plague to society.
